#   n   1/n    <E>    <|M|>     Szi    C(Sz)    Sxi    C(Sx)   Z1X2    X1Z2    Bell
#  ---  ----  ------  -----    -----   -----   -----   -----   -----  ------   -----
  238    0.004  -0.213   0.006  -0.000   0.000   0.216   0.000  -0.011  -0.024   0.062
  239    0.004  -0.219   0.006  -0.001   0.001   0.216   0.000  -0.028  -0.023   0.085
  240    0.004  -0.206   0.005   0.000   0.001   0.215   0.000   0.014  -0.027   0.026
  241    0.004  -0.218   0.005   0.000   0.001   0.213   0.000   0.006   0.024   0.037
  242    0.004  -0.210   0.005  -0.000   0.001   0.212   0.000  -0.012   0.002   0.063
  243    0.004  -0.208   0.006   0.000   0.000   0.214   0.000   0.025   0.022   0.010
  244    0.004  -0.212   0.005   0.000   0.002   0.214   0.000   0.002   0.009   0.043
  245    0.004  -0.214   0.006  -0.000   0.001   0.216   0.000  -0.003  -0.011   0.050
  246    0.004  -0.211   0.005   0.000   0.001   0.215   0.000   0.004   0.005   0.042
  247    0.004  -0.211   0.005  -0.000   0.001   0.212   0.000  -0.004   0.016   0.051
  248    0.004  -0.212   0.005   0.000   0.001   0.214   0.000   0.026   0.033   0.010
  249    0.004  -0.210   0.006  -0.000   0.001   0.216  -0.000  -0.021  -0.018   0.076
  250    0.004  -0.213   0.005  -0.000   0.001   0.213   0.000  -0.022  -0.010   0.077
  251    0.004  -0.215   0.005   0.000   0.001   0.214   0.000   0.016   0.006   0.023
  252    0.004  -0.216   0.005  -0.000   0.001   0.212   0.000  -0.003   0.020   0.051
  253    0.004  -0.219   0.005   0.000   0.001   0.214   0.000   0.004   0.004   0.040
  254    0.004  -0.210   0.005   0.000   0.001   0.212   0.000   0.007  -0.017   0.036
  255    0.004  -0.213   0.005  -0.000   0.001   0.215   0.000  -0.001   0.001   0.047
  256    0.004  -0.217   0.005  -0.000   0.001   0.214   0.000  -0.020  -0.015   0.075
  257    0.004  -0.216   0.005  -0.001   0.001   0.215   0.000  -0.031  -0.026   0.090
  258    0.004  -0.211   0.005   0.001   0.000   0.215   0.000   0.035   0.017  -0.003
  259    0.004  -0.212   0.005  -0.000   0.001   0.210   0.000  -0.024  -0.019   0.078
  260    0.004  -0.215   0.005   0.000   0.001   0.214   0.000   0.016   0.026   0.023
  261    0.004  -0.216   0.005   0.000   0.000   0.214   0.000   0.012   0.039   0.029
  262    0.004  -0.213   0.005   0.000   0.001   0.212   0.000   0.018   0.002   0.020
  263    0.004  -0.219   0.005   0.000   0.001   0.213   0.000   0.011   0.009   0.031
  264    0.004  -0.213   0.005   0.000   0.001   0.212   0.000   0.015   0.005   0.025
  265    0.004  -0.217   0.005  -0.000   0.001   0.212   0.000  -0.015  -0.049   0.067
  266    0.004  -0.214   0.005  -0.000   0.001   0.213   0.000  -0.003   0.003   0.050
  267    0.004  -0.220   0.005  -0.000   0.000   0.216   0.000  -0.007   0.028   0.057
  268    0.004  -0.223   0.005  -0.000   0.001   0.214   0.000  -0.013  -0.011   0.064
  269    0.004  -0.208   0.005   0.000   0.000   0.215   0.000   0.010   0.010   0.032
  270    0.004  -0.204   0.005  -0.001   0.001   0.216   0.000  -0.034  -0.010   0.094
  271    0.004  -0.217   0.005  -0.000   0.001   0.214   0.000  -0.010   0.001   0.061
  272    0.004  -0.216   0.005  -0.000   0.001   0.213   0.000  -0.013   0.013   0.063
  273    0.004  -0.213   0.005   0.000   0.001   0.212   0.000   0.018  -0.010   0.020
  274    0.004  -0.211   0.005   0.000   0.001   0.213   0.000   0.005   0.002   0.039
  275    0.004  -0.216   0.005   0.000   0.001   0.213   0.000   0.001   0.001   0.044
